CHEMICAL,DISEASE,relación,oración
LA,'s angina,causa,"Ludwig's angina (LA) is a life-threatening, rapidly progressive infection of the submandibular, sublingual, and submental spaces, often caused by odontogenic infections."
LA,infection,causa,"Ludwig's angina (LA) is a life-threatening, rapidly progressive infection of the submandibular, sublingual, and submental spaces, often caused by odontogenic infections."
LA,odontogenic infections,causa,"Ludwig's angina (LA) is a life-threatening, rapidly progressive infection of the submandibular, sublingual, and submental spaces, often caused by odontogenic infections."
LA,caries,otro,We report the case of an eight-year-old previously healthy girl who developed LA following untreated dental caries.
amoxicillin-clavulanate,pain,otro,"Intravenous amoxicillin-clavulanate and clindamycin were initiated, but symptoms progressed with increasing pain, sublingual swelling, and worsening trismus."
amoxicillin-clavulanate,trismus,otro,"Intravenous amoxicillin-clavulanate and clindamycin were initiated, but symptoms progressed with increasing pain, sublingual swelling, and worsening trismus."
clindamycin,pain,otro,"Intravenous amoxicillin-clavulanate and clindamycin were initiated, but symptoms progressed with increasing pain, sublingual swelling, and worsening trismus."
clindamycin,trismus,otro,"Intravenous amoxicillin-clavulanate and clindamycin were initiated, but symptoms progressed with increasing pain, sublingual swelling, and worsening trismus."
Doxycycline,Streptococcus thoraltensis,otro,Streptococcus thoraltensis and S. alactolyticus were susceptible (50%) to Doxycycline.
Azithromycin,Streptococcus thoraltensis,otro,Streptococcus thoraltensis and S. sanguinis were susceptible (50%) to Azithromycin.
quadruple,pylori infections,otro,"However, only a few randomized controlled trials (RCTs) have investigated the efficacy of tegoprazan and tetracycline-containing quadruple therapy (TTQT) for treating H. pylori infections, which this RCT explored."
bismuth potassium citrate,pylori infection,otro,"METHODS: This multicenter RCT included treatment-naive adults with H. pylori infection who received 7 or 14 days of TTQT (50-mg tegoprazan, 220-mg bismuth potassium citrate, and 1000-mg amoxicillin twice daily with 500-mg tetracycline four times daily)."
1000-mg amoxicillin,pylori infection,otro,"METHODS: This multicenter RCT included treatment-naive adults with H. pylori infection who received 7 or 14 days of TTQT (50-mg tegoprazan, 220-mg bismuth potassium citrate, and 1000-mg amoxicillin twice daily with 500-mg tetracycline four times daily)."
500-mg tetracycline,pylori infection,otro,"METHODS: This multicenter RCT included treatment-naive adults with H. pylori infection who received 7 or 14 days of TTQT (50-mg tegoprazan, 220-mg bismuth potassium citrate, and 1000-mg amoxicillin twice daily with 500-mg tetracycline four times daily)."
AMX,UV-Vis,otro,The photodegradation of AMX was monitored by UV-Vis and UV-Vis/HPLC spectrophotometry.
cefazolin,vertebral osteomyelitis,tratamiento,"Therefore, cefazolin was administered as empirical therapy for covering typical organisms such as Staphylococcus aureus and Streptococcus species causing vertebral osteomyelitis in healthy children."
ceftriaxone,adverse drug reactions,efecto_adverso,Treatment was commenced with ceftriaxone and later changed to ampicillin owing to adverse drug reactions.
ampicillin,adverse drug reactions,efecto_adverso,Treatment was commenced with ceftriaxone and later changed to ampicillin owing to adverse drug reactions.
sulfamethoxazole-trimethoprim,rash,efecto_adverso,"The side effects, such as rash, fever, and nausea, persisted after switching to oral sulfamethoxazole-trimethoprim, which was later changed to amoxicillin."
sulfamethoxazole-trimethoprim,fever,efecto_adverso,"The side effects, such as rash, fever, and nausea, persisted after switching to oral sulfamethoxazole-trimethoprim, which was later changed to amoxicillin."
sulfamethoxazole-trimethoprim,nausea,efecto_adverso,"The side effects, such as rash, fever, and nausea, persisted after switching to oral sulfamethoxazole-trimethoprim, which was later changed to amoxicillin."
amoxicillin,rash,efecto_adverso,"The side effects, such as rash, fever, and nausea, persisted after switching to oral sulfamethoxazole-trimethoprim, which was later changed to amoxicillin."
amoxicillin,fever,efecto_adverso,"The side effects, such as rash, fever, and nausea, persisted after switching to oral sulfamethoxazole-trimethoprim, which was later changed to amoxicillin."
amoxicillin,nausea,efecto_adverso,"The side effects, such as rash, fever, and nausea, persisted after switching to oral sulfamethoxazole-trimethoprim, which was later changed to amoxicillin."
amoxicillin,fever,otro,"Despite prior treatment with amoxicillin and paracetamol, the fever persisted, accompanied by leukopenia."
amoxicillin,leukopenia,otro,"Despite prior treatment with amoxicillin and paracetamol, the fever persisted, accompanied by leukopenia."
paracetamol,fever,otro,"Despite prior treatment with amoxicillin and paracetamol, the fever persisted, accompanied by leukopenia."
paracetamol,leukopenia,otro,"Despite prior treatment with amoxicillin and paracetamol, the fever persisted, accompanied by leukopenia."
pepsin,gastrointestinal tolerance,otro,"Simulated gastrointestinal tolerance tests demonstrated high survival rates: between 55.64% and 96.61% under 0.3% pepsin at pH 2.5, between 91.24% and 96.67% with bile salts (0.3%), and between 72.95% and 99.66% with phenol (0.4%)."
salts,gastrointestinal tolerance,otro,"Simulated gastrointestinal tolerance tests demonstrated high survival rates: between 55.64% and 96.61% under 0.3% pepsin at pH 2.5, between 91.24% and 96.67% with bile salts (0.3%), and between 72.95% and 99.66% with phenol (0.4%)."
phenol,gastrointestinal tolerance,otro,"Simulated gastrointestinal tolerance tests demonstrated high survival rates: between 55.64% and 96.61% under 0.3% pepsin at pH 2.5, between 91.24% and 96.67% with bile salts (0.3%), and between 72.95% and 99.66% with phenol (0.4%)."
levofloxacin,cancer,comparación,This study aimed to assess the efficacy and safety of oral levofloxacin versus oral amoxicillin-clavulanate/ciprofloxacin in the management of LR-FN in children with cancer over a time horizon of 7 days from the National Cancer Institute (NCI) perspective.
levofloxacin,Cancer,comparación,This study aimed to assess the efficacy and safety of oral levofloxacin versus oral amoxicillin-clavulanate/ciprofloxacin in the management of LR-FN in children with cancer over a time horizon of 7 days from the National Cancer Institute (NCI) perspective.
levofloxacin,cancer,otro,"CONCLUSION: For the treatment of FN in pediatric patients with cancer, levofloxacin offers a cost-saving option with improved survival benefits over a 7-day time horizon from the NCI perspective."
doxycycline,respiratory tract infections,causa,"The first group, including doxycycline, phenoxymethylpenicillin and sulfamethoxazole-trimethoprim, showed declining trends with stable trajectories, its similarities being confirmed by overlapping indications such as respiratory tract infections and declining usage due to guideline changes."
phenoxymethylpenicillin,respiratory tract infections,causa,"The first group, including doxycycline, phenoxymethylpenicillin and sulfamethoxazole-trimethoprim, showed declining trends with stable trajectories, its similarities being confirmed by overlapping indications such as respiratory tract infections and declining usage due to guideline changes."
sulfamethoxazole-trimethoprim,respiratory tract infections,causa,"The first group, including doxycycline, phenoxymethylpenicillin and sulfamethoxazole-trimethoprim, showed declining trends with stable trajectories, its similarities being confirmed by overlapping indications such as respiratory tract infections and declining usage due to guideline changes."
Bismuth,pylori,otro,"This Study Aimed to Compare the Efficacy, Safety, and Compliance of Cefuroxime-Based Dual Therapy (CDT) With Cefuroxime-Based Bismuth Quadruple Therapy (CQT) to Treat H. pylori Infection."
adrenaline,pulmonary edema,otro,"Twenty-two hours from exposure, the patient experienced pulmonary edema that required intubation, both adrenaline and dobutamine to maintain blood pressure."
dobutamine,pulmonary edema,otro,"Twenty-two hours from exposure, the patient experienced pulmonary edema that required intubation, both adrenaline and dobutamine to maintain blood pressure."
adrenaline,takotsubo,causa,This case demonstrates the delayed onset of adrenaline-induced takotsubo complicated with pulmonary edema in a patient with anaphylactic shock due to antibiotics despite a de-escalation dose of adrenaline.
adrenaline,pulmonary edema,causa,This case demonstrates the delayed onset of adrenaline-induced takotsubo complicated with pulmonary edema in a patient with anaphylactic shock due to antibiotics despite a de-escalation dose of adrenaline.
adrenaline,anaphylactic shock,causa,This case demonstrates the delayed onset of adrenaline-induced takotsubo complicated with pulmonary edema in a patient with anaphylactic shock due to antibiotics despite a de-escalation dose of adrenaline.
epinephrine,anaphylactic shock,otro,"Regardless of the duration of the event or the optimal epinephrine dosage in patients with anaphylactic shock, physicians should be aware of the risk of TTS."
high-dose,pylori,otro,"AIM: To assess the efficacy and safety of high-dose dual therapy (HDDT) utilizing various highly potent antisecretory medications, thereby providing additional clinical guidance for H. pylori eradication."
VAC,pylori,otro,"CONCLUSION: The HDDT based on vonoprazan demonstrated non-inferiority to the VAC triple regimen, suggesting its potential as a recommended first-line treatment for H. pylori eradication."
PBMT,pain,otro,PBMT reduced the loss of mouth opening amplitude and the sensation of pain and oedema.
PBMT,oedema,otro,PBMT reduced the loss of mouth opening amplitude and the sensation of pain and oedema.
PBMT,inflammation,otro,"PBMT has a beneficial effect on postoperative control (reduction in inflammation and pain) after third molar extraction, and ATB does not have a beneficial effect on postoperative control after these surgeries."
PBMT,pain,otro,"PBMT has a beneficial effect on postoperative control (reduction in inflammation and pain) after third molar extraction, and ATB does not have a beneficial effect on postoperative control after these surgeries."
amoxicillin-clavulanate,sepsis,otro,"METHODS: Adult patients with sepsis receiving amoxicillin-clavulanate, piperacillin-tazobactam, imipenem-cilastatin and meropenem were randomized to 24-hour CI or IB."
piperacillin-tazobactam,sepsis,otro,"METHODS: Adult patients with sepsis receiving amoxicillin-clavulanate, piperacillin-tazobactam, imipenem-cilastatin and meropenem were randomized to 24-hour CI or IB."
imipenem-cilastatin,sepsis,otro,"METHODS: Adult patients with sepsis receiving amoxicillin-clavulanate, piperacillin-tazobactam, imipenem-cilastatin and meropenem were randomized to 24-hour CI or IB."
beta-lactam,critically ill,comparación,"CONCLUSION: Among critically ill patients meeting the sepsis-3 definition, this study could not demonstrate the superiority of continuous infusion of beta-lactam antibiotics compared to intermittent bolus in achieving a clinical cure."
